GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Drinks,at.fhj.iit.custom.misc,Brand,0,49,0,0,0,10,0,3,0,3
Drinks,at.fhj.iit.custom.misc,SoftLiquid,0,38,0,0,0,13,0,8,0,8
Drinks,at.fhj.iit.custom.misc,Fruit,0,13,0,0,0,6,0,3,0,3
Drinks,at.fhj.iit.util,CashRegisterRandomizer,0,241,0,14,0,52,0,17,0,10
Drinks,at.fhj.iit.util,DrinkUtils,0,30,0,0,0,5,0,3,0,3
Drinks,at.fhj.iit.base,Liquid,0,48,0,2,0,18,0,9,0,8
Drinks,at.fhj.iit.base,Drink,0,6,0,0,0,3,0,1,0,1
Drinks,at.fhj.iit.base,SimpleDrink,0,42,0,2,0,8,0,7,0,6
Drinks,at.fhj.iit.custom.drink,LongDrink,0,70,0,2,0,9,0,7,0,6
Drinks,at.fhj.iit.custom.drink,Tea,0,99,0,12,0,21,0,14,0,8
Drinks,at.fhj.iit.custom.drink,Cocktail,0,146,0,10,0,34,0,18,0,13
Drinks,at.fhj.iit.custom.drink,Smoothie,0,123,0,12,0,23,0,12,0,6
Drinks,at.fhj.iit.exception,ValidationException,0,4,0,0,0,2,0,1,0,1
Drinks,at.fhj.iit,Main,0,209,0,0,0,60,0,8,0,8
Drinks,at.fhj.iit.custom.cashRegister,DrinkSale,0,29,0,0,0,10,0,5,0,5
Drinks,at.fhj.iit.custom.cashRegister,CashRegisterManagement,11,268,2,26,3,80,2,36,0,24
Drinks,at.fhj.iit.custom.cashRegister,Operator,0,15,0,0,0,5,0,2,0,2
